StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
109ace,1978,13849,Hearthstone,2103,14470,178701,Hearthstone,2103,14470,178701,Hearthstone,2103,14470,178701
kss7749,2059,7475,IRL,1857,8854,46862,God of War,4713,13137,4920,A Way Out,8911,10762,175
zzamtiger0310,1227,9994,IRL,723,4594,32829,Tekken 7,1220,6980,19485,Samurai Shodown! 2,2681,2759,40
kimdduddi,1213,8762,PLAYERUNKNOWN'S BATTLEGROUNDS,397,4346,40467,Rust,1351,5666,6234,Carpe Diem,1868,2171,30
acro_land,1345,15967,Diablo III: Reaper of Souls,164,1427,60687,Lost Ark Online,1037,9680,58896,Lost Ark Online,1037,9680,58896
dingception,937,14185,PLAYERUNKNOWN'S BATTLEGROUNDS,2936,19845,145340,PLAYERUNKNOWN'S BATTLEGROUNDS,2936,19845,145340,Social Eating,5254,5754,60
dda_ju,925,11131,IRL,874,7959,50475,Talk Shows &amp; Podcasts,505,9811,20358,Animal Crossing: New Leaf,2864,3647,95
yumcast11,2491,3054,Just Chatting,2149,9313,3456,Just Chatting,2149,9313,3456,Unknown,6128,6128,16
miro_geng,527,7842,Overwatch,1491,16890,48417,Overwatch,1491,16890,48417,Overwatch,1491,16890,48417
xkwhd,1633,8816,League of Legends,945,3955,131919,League of Legends,945,3955,131919,Food &amp; Drink,1010,1898,976
